"renesting","last_active_day","maleplumage","nest_succes","ring_female","Laydate","season"
"1",65,"black-white","0","D143315","28/12/2014","2014_15"
"0",72,"black-white","0","D143315","09/01/2015","2014_15"
"1",72,"black-white","0","D143340","29/12/2014","2014_15"
"0",96,"black-white","0","D143340","18/01/2015","2014_15"
"0",141,"black-white","1","D143345","27/02/2015","2014_15"
"0",163,"black-white","1","D143347","23/03/2015","2014_15"
"0",64,"black-white","0","UFVCAF000014","24/12/2017","2017_18"
"1",65,"black-white","0","UFVCAF000008","18/12/2017","2017_18"
"0",78,"black-white","1","UFVCAF000004","24/12/2017","2017_18"
"1",93,"black-white","1","UFVCAF000008","10/01/2018","2017_18"
"0",68,"black-white","0","UFVCAF000077","28/01/2018","2017_18"
"1",100,"black-white","0","UFVCAF000005","06/02/2018","2017_18"
"0",96,"black-white","0","UFVCAF000062","01/02/2018","2017_18"
"0",128,"brownish","1","UFVCAF000115","13/02/2018","2017_18"
"1",113,"black-white","0","UFVCAF000009","08/02/2018","2017_18"
"0",130,"black-white","1","UFVCAF000079","15/02/2018","2017_18"
"0",112,"brownish","0","UFVCAF000092","09/02/2018","2017_18"
"0",134,"black-white","1","UFVCAF000121","18/02/2018","2017_18"
"0",141,"black-white","1","UFVCAF000014","26/02/2018","2017_18"
"0",136,"brownish","0","UFVCAF000118","27/02/2018","2017_18"
"0",141,"brownish","1","UFVCAF000281","27/02/2018","2017_18"
"0",139,"black-white","0","UFVCAF000104","11/03/2018","2017_18"
"0",152,"black-white","1","UFVCAF000009","10/03/2018","2017_18"
"0",155,"brownish","1","UFVCAF000056","12/03/2018","2017_18"
"0",146,"black-white","0","UFVCAF000008","10/03/2018","2017_18"
"0",137,"black-white","0","UFVCAF000005","12/03/2018","2017_18"
"0",138,"black-white","0","UFVCAF000101","15/03/2018","2017_18"
"1",63,"black-white","0","UFVCAF000281","15/12/2018","2018_19"
"1",67,"black-white","1","UFVCAF000181","14/12/2018","2018_19"
"0",70,"black-white","1","UFVCAF000249","17/12/2018","2018_19"
"0",72,"black-white","1","UFVCAF000073","18/12/2018","2018_19"
"1",64,"black-white","0","UFVCAF000172","24/12/2018","2018_19"
"0",76,"brownish","0","UFVCAF000195","02/01/2019","2018_19"
"0",92,"brownish","0","UFVCAF000260","12/01/2019","2018_19"
"0",88,"black-white","0","UFVCAF000258","17/01/2019","2018_19"
"0",82,"black-white","0","UFVCAF000237","16/01/2019","2018_19"
"0",92,"black-white","0","UFVCAF000070","23/01/2019","2018_19"
"1",102,"black-white","0","UFVCAF000202","30/01/2019","2018_19"
"1",99,"black-white","0","UFVCAF000181","25/01/2019","2018_19"
"0",129,"black-white","1","UFVCAF000206","13/02/2019","2018_19"
"0",133,"brownish","1","UFVCAF000205","18/02/2019","2018_19"
"0",122,"black-white","0","UFVCAF000181","19/02/2019","2018_19"
"0",123,"black-white","0","UFVCAF000202","23/02/2019","2018_19"
"0",121,"black-white","0","UFVCAF000281","22/02/2019","2018_19"
"1",135,"black-white","0","UFVCAF000250","07/03/2019","2018_19"
"0",138,"black-white","1","UFVCAF000282","23/02/2019","2018_19"
"0",140,"black-white","1","UFVCAF000280","25/02/2019","2018_19"
"0",131,"black-white","0","UFVCAF000204","25/02/2019","2018_19"
"0",124,"black-white","0","UFVCAF000101","01/03/2019","2018_19"
"0",150,"black-white","0","UFVCAF000105","06/03/2019","2018_19"
"0",138,"black-white","0","UFVCAF000172","28/02/2019","2018_19"
"0",145,"black-white","1","UFVCAF000055","03/03/2019","2018_19"
"0",152,"black-white","1","UFVCAF000225","10/03/2019","2018_19"
"0",149,"black-white","0","UFVCAF000266","08/03/2019","2018_19"
"1",145,"black-white","0","UFVCAF000212","19/03/2019","2018_19"
"0",149,"black-white","0","UFVCAF000250","20/03/2019","2018_19"
"0",159,"black-white","0","UFVCAF000212","28/03/2019","2018_19"
"1",78,"black-white","1","UFVCAF000324","24/12/2019","2019_20"
"1",56,"black-white","0","UFVCAF000280","24/12/2019","2019_20"
"0",78,"black-white","0","UFVCAF000347","30/12/2019","2019_20"
"1",69,"black-white","0","UFVCAF000348","23/12/2019","2019_20"
"1",64,"black-white","0","UFVCAF000334","26/12/2019","2019_20"
"1",61,"black-white","0","UFVCAF000329","26/12/2019","2019_20"
"1",65,"black-white","0","UFVCAF000281","25/12/2019","2019_20"
"0",63,"black-white","0","UFVCAF000742","27/12/2019","2019_20"
"0",53,"black-white","0","UFVCAF000322","23/12/2019","2019_20"
"1",80,"black-white","1","UFVCAF000201","26/12/2019","2019_20"
"0",84,"black-white","1","UFVCAF000041","30/12/2019","2019_20"
"1",65,"black-white","0","UFVCAF000328","19/12/2019","2019_20"
"1",77,"black-white","1","UFVCAF000270","25/12/2019","2019_20"
"0",90,"black-white","1","UFVCAF000336","03/01/2020","2019_20"
"1",64,"black-white","0","UFVCAF000317","28/12/2019","2019_20"
"0",70,"black-white","0","UFVCAF000280","03/01/2020","2019_20"
"1",79,"black-white","0","UFVCAF000747","05/01/2020","2019_20"
"0",81,"black-white","0","UFVCAF000749","03/01/2020","2019_20"
"0",76,"brownish","0","UFVCAF000719","09/01/2020","2019_20"
"0",85,"black-white","0","UFVCAF000288","04/01/2020","2019_20"
"0",88,"black-white","1","UFVCAF000317","06/01/2020","2019_20"
"0",74,"black-white","0","UFVCAF000075","10/01/2020","2019_20"
"1",86,"black-white","0","UFVCAF000334","09/01/2020","2019_20"
"0",99,"black-white","1","UFVCAF000718","11/01/2020","2019_20"
"0",92,"black-white","1","UFVCAF000732","07/01/2020","2019_20"
"0",85,"black-white","0","UFVCAF000328","09/01/2020","2019_20"
"0",86,"black-white","0","UFVCAF000714","19/01/2020","2019_20"
"1",99,"black-white","1","UFVCAF000323","17/01/2020","2019_20"
"0",101,"black-white","1","UFVCAF000348","14/01/2020","2019_20"
"1",86,"brownish","0","UFVCAF000745","17/01/2020","2019_20"
"0",100,"black-white","1","UFVCAF000787","19/01/2020","2019_20"
"0",94,"black-white","0","UFVCAF000324","25/01/2020","2019_20"
"0",101,"black-white","0","UFVCAF000738","23/01/2020","2019_20"
"1",97,"black-white","0","UFVCAF000329","25/01/2020","2019_20"
"0",109,"brownish","0","UFVCAF000764","28/01/2020","2019_20"
"0",102,"black-white","0","UFVCAF000120","29/01/2020","2019_20"
"0",96,"black-white","0","UFVCAF000747","30/01/2020","2019_20"
"0",100,"black-white","0","UFVCAF000779","29/01/2020","2019_20"
"0",94,"black-white","0","UFVCAF000201","29/01/2020","2019_20"
"0",99,"black-white","0","UFVCAF000156","01/02/2020","2019_20"
"1",119,"black-white","1","UFVCAF000342","03/02/2020","2019_20"
"0",114,"black-white","1","UFVCAF000334","31/01/2020","2019_20"
"0",104,"brownish","0","UFVCAF000745","06/02/2020","2019_20"
"0",105,"brownish","0","UFVCAF000775","09/02/2020","2019_20"
"0",118,"black-white","0","UFVCAF000700","08/02/2020","2019_20"
"0",112,"black-white","0","UFVCAF000202","04/02/2020","2019_20"
"1",104,"brownish","0","UFVCAF000329","08/02/2020","2019_20"
"0",117,"black-white","0","UFVCAF000323","18/02/2020","2019_20"
"0",143,"black-white","1","UFVCAF000281","26/02/2020","2019_20"
"0",142,"black-white","0","UFVCAF000867","03/03/2020","2019_20"
"0",143,"black-white","0","UFVCAF000799","09/03/2020","2019_20"
"1",130,"black-white","0","UFVCAF000868","07/03/2020","2019_20"
"0",135,"black-white","0","UFVCAF000861","10/03/2020","2019_20"
"0",133,"black-white","0","UFVCAF000342","07/03/2020","2019_20"
"0",136,"black-white","0","UFVCAF000270","13/03/2020","2019_20"
"1",53,"black-white","0","UFVCAF000565","20/12/2020","2020-21"
"1",70,"black-white","0","UFVCAF000347","19/12/2020","2020-21"
"1",57,"black-white","0","UFVCAF000342","24/12/2020","2020-21"
"0",70,"black-white","0","UFVCAF000363","23/12/2020","2020-21"
"0",70,"black-white","0","UFVCAF000566","28/12/2020","2020-21"
"0",84,"black-white","0","UFVCAF000570","03/01/2021","2020-21"
"0",84,"black-white","1","UFVCAF000565","30/12/2020","2020-21"
"0",72,"black-white","0","UFVCAF000745","09/01/2021","2020-21"
"0",100,"black-white","1","UFVCAF000514","21/01/2021","2020-21"
"0",95,"black-white","0","UFVCAF000347","21/01/2021","2020-21"
"0",90,"black-white","0","UFVCAF000342","26/01/2021","2020-21"
"1",108,"black-white","0","UFVCAF000201","12/02/2021","2020-21"
"0",133,"black-white","0","UFVCAF000201","22/02/2021","2020-21"
"1",78,"black-white","1","UFVCAF000841","25/12/2021","2021-22"
"0",67,"black-white","0","UFVCAF000404","27/12/2021","2021-22"
"0",56,"black-white","0","UFVCAF000051","10/12/2021","2021-22"
"1",41,"black-white","0","UFVCAF000841","15/12/2021","2021-22"
"0",63,"black-white","1","UFVCAF000210","09/12/2021","2021-22"
"1",62,"brownish","0","UFVCAF000438","17/12/2021","2021-22"
"0",54,"black-white","0","UFVCAF672","17/12/2021","2021-22"
"1",68,"black-white","1","UFVCAF000441","16/12/2021","2021-22"
"1",70,"black-white","1","UFVCAF000840","18/12/2021","2021-22"
"0",53,"black-white","0","UFVCAF000444","19/12/2021","2021-22"
"1",57,"black-white","0","UFVCAF000401","19/12/2021","2021-22"
"0",60,"black-white","0","UFVCAF000525","24/12/2021","2021-22"
"0",76,"black-white","1","UFVCAF000675","22/12/2021","2021-22"
"1",61,"brownish","0","UFVCAF000273","24/12/2021","2021-22"
"0",65,"black-white","0","UFVCAF000669","21/12/2021","2021-22"
"1",74,"black-white","0","UFVCAF000201","03/01/2022","2021-22"
"1",103,"brownish","1","UFVCAF000273","15/01/2022","2021-22"
"0",92,"black-white","0","UFVCAF000429","16/01/2022","2021-22"
"1",85,"black-white","0","UFVCAF000495","14/01/2022","2021-22"
"0",92,"black-white","0","UFVCAF000655","19/01/2022","2021-22"
"1",94,"black-white","0","UFVCAF000803","22/01/2022","2021-22"
"0",93,"black-white","0","UFVCAF000428","23/01/2022","2021-22"
"1",87,"black-white","0","UFVCAF000201","19/01/2022","2021-22"
"0",63,"brownish","0","UFVCAF000659","23/01/2022","2021-22"
"0",89,"black-white","0","UFVCAF000651","21/01/2022","2021-22"
"0",90,"brownish","0","UFVCAF000656","21/01/2022","2021-22"
"0",99,"brownish","0","UFVCAF000510","23/01/2022","2021-22"
"0",95,"brownish","0","UFVCAF000660","24/01/2022","2021-22"
"0",113,"black-white","1","UFVCAF000811","29/01/2022","2021-22"
"1",95,"black-white","0","UFVCAF000201","31/01/2022","2021-22"
"0",91,"black-white","0","UFVCAF000401","29/01/2022","2021-22"
"0",117,"brownish","1","UFVCAF000438","03/02/2022","2021-22"
"1",119,"black-white","1","UFVCAF000841","07/02/2022","2021-22"
"0",113,"black-white","0","UFVCAF000803","11/02/2022","2021-22"
"0",128,"black-white","0","UFVCAF000495","24/02/2022","2021-22"
"0",127,"black-white","0","UFVCAF000840","22/02/2022","2021-22"
"0",146,"brownish","0","UFVCAF000273","10/03/2022","2021-22"
"0",144,"black-white","1","UFVCAF000441","04/03/2022","2021-22"
"0",128,"black-white","0","UFVCAF000841","07/03/2022","2021-22"
